Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;TempRet;Hall2Offset;Hall2Radiation;cp;mflow;deltaT;Qflow
1393200;2547.416017;0.000197321;0.213796281;0.655307794;317.3804688;307.2108233;13.68292683;297.6961263;4.18;0.197320722;10.16964545;-8387.929865
1404000;2547.422695;0.000201812;0.216905157;0.65530864;318.3706237;307.8642449;13.85969936;297.9339656;4.18;0.201812449;10.50637875;-8862.929353
1414800;2547.361871;0.000194864;0.217235148;0.655277584;318.0204823;308.1464724;12.57163743;297.3825292;4.18;0.194864106;9.874009961;-8042.696697
1425600;2547.444915;0.00019466;0.201653875;0.655271966;316.5307203;307.5431497;11.93271296;297.6467788;4.18;0.194660229;8.987570574;-7313.004243
1436400;2547.399574;0.000194444;0.202613216;0.655373171;315.2387865;305.7732076;11.56106322;295.3721983;4.18;0.194444441;9.465578906;-7693.412058
1447200;2547.364364;0.000194606;0.197033176;0.65532366;314.4641818;305.7018544;12.07084871;296.9546494;4.18;0.194606057;8.762327465;-7127.744364
1458000;2547.330731;0.000195115;0.200391677;0.655343606;314.7048616;305.6180626;12.31654676;297.0809353;4.18;0.195114735;9.086799067;-7411.007894
1468800;2547.394886;0.000194938;0.207410937;0.655334697;316.1330256;306.3300426;12.25716332;297.208596;4.18;0.194937655;9.802983048;-7987.85679
1479600;2547.387509;0.000197185;0.228833482;0.65532211;317.4923705;307.1680979;11.59277978;297.3631408;4.18;0.197184762;10.32427262;-8509.599022
1490400;2547.353234;0.000202855;0.221714239;0.655331876;318.0554727;307.5880954;11.83021583;297.5397842;4.18;0.202854772;10.46737731;-8875.634105
1501200;2547.375177;0.000194799;0.208178879;0.655306537;317.5811348;307.7904251;11.93669065;298.0078417;4.18;0.194799051;9.790709665;-7972.183583
1512000;2547.333333;0.000196217;0.181914786;0.655298474;316.063688;307.3128369;12.2218234;297.9943647;4.18;0.196217491;8.750851064;-7177.352774
1522800;2547.409348;0.000195192;0.193921149;0.65530034;314.3372521;306.1405806;12.19655667;297.6842181;4.18;0.195192002;8.196671429;-6687.685268
1533600;2547.387394;0.000194484;0.197061764;0.655334676;313.9418555;305.51204;12.45971223;297.4135252;4.18;0.194483786;8.429815557;-6852.953036
1544400;2547.40326;0.000194484;0.196362513;0.65535387;314.56545;305.5369595;12.65232975;297.2012545;4.18;0.194483814;9.028490471;-7339.642207
1555200;2547.274079;0.000196608;0.210868316;0.655357601;316.6396528;306.3512747;12.73007897;297.15;4.18;0.196608433;10.28837802;-8455.228258
1566000;2547.363895;0.000199814;0.232759596;0.655332747;319.5767045;307.9002488;12.30525558;297.2458243;4.18;0.199814418;11.67645568;-9752.459139
1576800;2547.470297;0.000194602;0.244145995;0.65530843;321.3711458;309.1646391;12.12106017;297.5834527;4.18;0.1946016;12.20650663;-9929.195901
1587600;2547.388102;0.000194562;0.223236682;0.655263709;320.6168794;309.7678014;12.07636888;298.756268;4.18;0.194562477;10.84907799;-8823.242178
1598400;2547.388928;0.000194444;0.198636428;0.655222343;317.0612926;308.6942157;12.70028818;299.4778098;4.18;0.194444441;8.367076917;-6800.574068
1609200;2547.338767;0.000194464;0.181728304;0.655257191;313.8468108;306.5552445;12.22740316;298.9776901;4.18;0.194464128;7.291566231;-5927.02292
1620000;2547.395464;0.000194405;0.171558225;0.655278643;311.8688519;305.038873;12.28458213;298.2906048;4.18;0.194405068;6.829978929;-5550.130925
1630800;2547.369242;0.000195429;0.180508172;0.655300422;311.903083;304.3927358;12.20331651;297.8006849;4.18;0.195428771;7.510347169;-6135.144489
1641600;2547.33428;0.00019748;0.203745251;0.655320214;315.2537615;305.6824343;12.63590844;297.62103;4.18;0.19748048;9.57132718;-7900.828195
1652400;2547.33049;0.000199499;0.225137893;0.655276974;318.9269723;307.6815564;12.4445245;297.65;4.18;0.199498537;11.24541585;-9377.595962
1663200;2547.361131;0.000194719;0.241436655;0.655283836;321.2349469;309.1275265;12.76525485;297.9007538;4.18;0.194719274;12.10742048;-9854.55118
1674000;2547.39573;0.000194879;0.225871807;0.65524276;321.0449467;309.9998932;13.22678186;299.0103312;4.18;0.194879396;11.04505344;-8997.254964
1684800;2547.357955;0.000194583;0.209278379;0.655216745;318.7037695;309.4014571;13.3666427;299.559849;4.18;0.194582639;9.302312379;-7566.086297
1695600;2547.369766;0.000194504;0.198508223;0.655232855;316.0468062;307.7731369;13.84909747;299.1645126;4.18;0.194503585;8.273669322;-6726.699871
1706400;2547.383523;0.000194326;0.190862011;0.655267403;314.2811079;306.2672587;13.84909747;298.4619856;4.18;0.19432607;8.013849204;-6509.513252
1717200;2547.377573;0.000194444;0.195297787;0.655303215;314.5196948;305.8209009;13.21982759;297.9774946;4.18;0.194444441;8.698793892;-7070.186248
1728000;2547.398582;0.000194346;0.221451777;0.655300315;317.29088;306.8267212;12.89598278;297.6894548;4.18;0.194345938;10.46415885;-8500.727106
1738800;2547.417614;0.000192768;0.227850689;0.655285776;316.8528429;307.6826222;12.97408207;297.6152988;4.18;0.192767516;9.170220673;-7389.07237
1749600;2547.415134;0.000196802;0.06047642;0.655313593;303.2815641;301.1715146;12.1558908;296.945546;4.18;0.196801821;2.110049543;-1735.793453
1760400;2547.422285;0.000207594;-0.004572914;0.655363424;297.3315472;296.1213272;10.93952484;294.9322174;4.18;0.207594038;1.210220045;-1050.160068
1771200;2547.385704;0.000210112;-0.004582593;0.655380847;296.1716712;294.9844895;10.95680346;295.5258273;4.18;0.210112448;1.187181771;-1042.666175
1782000;2547.390503;0.000203973;0.039496758;0.655387259;296.8520552;294.8554571;11.66234701;295.3844132;4.18;0.203972753;1.996598135;-1702.311762
